group,experiment_id,experiment_name,model,model_short,method,task,platform,seed,steps_completed,peak_reward,last10_avg,first5_avg,status,error_message,finding,wandb_run_url,hf_checkpoint_url
Old TRL,sb3_ppo_math_s123,SB3 PPO Math seed=123,SB3/PPO (policy network),sb3-ppo,PPO,math,modal,123,100352,0.045,0.008,0.008,completed,,SB3/PPO: final accuracy=0.014 — policy gradient on raw math fails without LLM,,
Old TRL,sb3_ppo_math_s456,SB3 PPO Math seed=456,SB3/PPO (policy network),sb3-ppo,PPO,math,modal,456,100352,0.02,0.0065,0.007,completed,,SB3/PPO: final accuracy=0.011 — policy gradient on raw math fails without LLM,,
Old TRL,sb3_ppo_math_s789,SB3 PPO Math seed=789,SB3/PPO (policy network),sb3-ppo,PPO,math,modal,789,100352,0.02,0.01,0.003,completed,,SB3/PPO: final accuracy=0.012 — policy gradient on raw math fails without LLM,,
Old TRL,sb3_ppo_math_s1024,SB3 PPO Math seed=1024,SB3/PPO (policy network),sb3-ppo,PPO,math,modal,1024,100352,0.025,0.01,0.003,completed,,SB3/PPO: final accuracy=0.010 — policy gradient on raw math fails without LLM,,
Old TRL,cleanrl_ppo_math_s42,CleanRL PPO Math seed=42,CleanRL/PPO (policy network),cleanrl-ppo,PPO,math,modal,42,97280,0.02,0.011,0.008,completed,,"CleanRL/PPO: final accuracy=0.010 — near-zero, confirms LLM mandatory",,
Old TRL,cleanrl_ppo_math_s123,CleanRL PPO Math seed=123,CleanRL/PPO (policy network),cleanrl-ppo,PPO,math,modal,123,97280,0.005,0.002,0.0,completed,,"CleanRL/PPO: final accuracy=0.008 — near-zero, confirms LLM mandatory",,
Old TRL,cleanrl_ppo_math_s456,CleanRL PPO Math seed=456,CleanRL/PPO (policy network),cleanrl-ppo,PPO,math,modal,456,97280,0.015,0.008,0.005,completed,,"CleanRL/PPO: final accuracy=0.014 — near-zero, confirms LLM mandatory",,
Old TRL,cleanrl_ppo_math_s789,CleanRL PPO Math seed=789,CleanRL/PPO (policy network),cleanrl-ppo,PPO,math,modal,789,97280,0.025,0.0095,0.012,completed,,"CleanRL/PPO: final accuracy=0.009 — near-zero, confirms LLM mandatory",,
Old TRL,cleanrl_ppo_math_s1024,CleanRL PPO Math seed=1024,CleanRL/PPO (policy network),cleanrl-ppo,PPO,math,modal,1024,97280,0.01,0.0025,0.004,completed,,"CleanRL/PPO: final accuracy=0.004 — near-zero, confirms LLM mandatory",,
Old TRL,tianshou_ppo_math_s42,Tianshou PPO Math seed=42,Tianshou/PPO (policy network),tianshou-ppo,PPO,math,modal,42,100000,0.025,0.0135,0.001,completed,,"Tianshou/PPO: final accuracy=0.011 — near-zero, <3s runtime indicates trivial baseline",,
Old TRL,tianshou_ppo_math_s123,Tianshou PPO Math seed=123,Tianshou/PPO (policy network),tianshou-ppo,PPO,math,modal,123,100000,0.02,0.0055,0.002,completed,,"Tianshou/PPO: final accuracy=0.002 — near-zero, <3s runtime indicates trivial baseline",,
Old TRL,tianshou_ppo_math_s456,Tianshou PPO Math seed=456,Tianshou/PPO (policy network),tianshou-ppo,PPO,math,modal,456,100000,0.02,0.01,0.007,completed,,"Tianshou/PPO: final accuracy=0.005 — near-zero, <3s runtime indicates trivial baseline",,
Old TRL,tianshou_ppo_math_s789,Tianshou PPO Math seed=789,Tianshou/PPO (policy network),tianshou-ppo,PPO,math,modal,789,100000,0.02,0.006,0.005,completed,,"Tianshou/PPO: final accuracy=0.002 — near-zero, <3s runtime indicates trivial baseline",,
Old TRL,tianshou_ppo_math_s1024,Tianshou PPO Math seed=1024,Tianshou/PPO (policy network),tianshou-ppo,PPO,math,modal,1024,100000,0.02,0.0075,0.007,completed,,"Tianshou/PPO: final accuracy=0.009 — near-zero, <3s runtime indicates trivial baseline",,
Team Member,sandhya_grpo_tool_calling_3b,Sandhya – GRPO Tool Calling (3B),3B (unspecified base),3b-tool,GRPO vs SFT,tool_calling,external,,,0.91,0.91,,completed,,GRPO 0.91 vs SFT baseline 0.72 on tool-calling — +0.19 absolute improvement with RL,,
Team Member,madhu_grpo_humaneval_qwen3-8b,Madhu – HumanEval (Qwen3-8B),Qwen/Qwen3-8B,qwen3-8b,GRPO,code_generation,external,,,0.86,0.86,,completed,,HumanEval 86% (141/164 problems) — best code-gen result in the project,,https://github.com/madhukumara1993/qwen3-grpo
Team Member,mohammad_rafi_grpo_math_qwen3-4b,Mohammad Rafi – Math Reasoning (Qwen3-4B),Qwen/Qwen3-4B,qwen3-4b,GRPO,math_reasoning,external,,,0.678,0.678,,completed,,+0.6pp accuracy gain (67.2% → 67.8%) on math reasoning with Qwen3-4B GRPO,,
Team Member,arumugam_dpo_keyword_0.5b,Arumugam – DPO Keyword Eval (0.5B),0.5B (unspecified base),0.5b-dpo,DPO,keyword_generation,external,,,,,,completed,,+25% keyword metric with DPO on 0.5B model (8 training examples — very low-data regime),,
8,,,meta-llama/Llama-3.1-8B-Instruct,llama-8b-inst,,tool_use,tinker,42,,,0.0,0.0,,,,,
8,,,Qwen/Qwen3-32B,qwen3-32b,,tool_use,tinker,42,,,0.0,0.0,,,,,
4,,,deepseek-ai/DeepSeek-V3.1,deepseek-v3.1,,gsm8k,tinker,42,,,0.85,0.85,,,,,
4,,,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16,nemotron-120b,,gsm8k,tinker,42,,,0.1625,0.175,,,,,
4,,,Qwen/Qwen3-235B-A22B-Instruct-2507,qwen3-235b-moe,,gsm8k,tinker,42,15,,1.0,1.0,,,,,
8,,,Qwen/Qwen3-30B-A3B-Instruct-2507,qwen3-30b-moe-inst,,gsm8k,tinker,42,10,,1.0,1.0,,,,,
8,,,Qwen/Qwen3-30B-A3B,qwen3-30b-moe,,gsm8k,tinker,42,20,,0.3252,0.3252,,,,,
8,,,meta-llama/Llama-3.1-8B-Instruct,llama-8b-inst,,gsm8k,tinker,42,,,0.84375,0.975,,,,,
8,,,Qwen/Qwen3-32B,qwen3-32b,,gsm8k,tinker,42,10,,0.24966666666666668,0.24966666666666668,,,,,
8,,,Qwen/Qwen3-8B,qwen3-8b,,gsm8k,tinker,42,,,0.34375,0.3125,,,,,
8,,,Qwen/Qwen3.5-27B,qwen3.5-27b,,gsm8k,tinker,42,10,,0.43733333333333335,0.43733333333333335,,,,,
8,,,Qwen/Qwen3.5-4B,qwen3.5-4b,,gsm8k,tinker,42,,,0.85,0.9625,,,,,
,,,Qwen/Qwen3-8B,qwen3-8b,,kl_tracking,modal_h100,42,,,,,,,,,
,,,Qwen/Qwen3-8B,qwen3-8b,,gsm8k,modal_h100,42,,,0.225,,,,,,
,,,meta-llama/Llama-3.1-8B-Instruct,llama-8b-inst,,gsm8k,modal_h100,42,,,0.975,,,,,,
,campaign_v2_w1_qwen3-8b-base,,Qwen/Qwen3-8B-Base,,GRPO,gsm8k,Tinker,42,,1.0,,,completed,,,,
,modal_trl_trl_qwen3_8b,,Qwen/Qwen3-8B,,TRL-GRPO,gsm8k,Modal-H100,42,,0.375,,,completed,,,,
,modal_trl_trl_llama32_3b,,meta-llama/Llama-3.2-3B-Instruct,,TRL-GRPO,gsm8k,Modal-H100,42,,1.0,,,completed,,,,
,modal_trl_trl_llama32_1b,,meta-llama/Llama-3.2-1B-Instruct,,TRL-GRPO,gsm8k,Modal-H100,42,,0.875,,,completed,,,,
,campaign_v2_w1_deepseek-v31-base,,deepseek-ai/DeepSeek-V3.1-Base,,GRPO,gsm8k,Tinker,42,26,0.812,0.5728333333333334,0.525,completed,,,,
,campaign_v2_w1_gpt-oss-120b,,openai/gpt-oss-120b,,GRPO,gsm8k,Tinker,42,26,1.0,0.8753333333333333,0.9128000000000001,completed,,,,
,campaign_v2_w1_kimi-k2-thinking,,moonshotai/Kimi-K2-Thinking,,GRPO,gsm8k,Tinker,42,26,1.0,0.9583333333333334,0.9875999999999999,completed,,,,
,campaign_v2_w1_kimi-k25,,moonshotai/Kimi-K2.5,,GRPO,gsm8k,Tinker,42,26,1.0,0.625,0.55,completed,,,,
,campaign_v2_w1_llama31-70b-base,,meta-llama/Llama-3.1-70B,,GRPO,gsm8k,Tinker,42,26,0.562,0.36433333333333334,0.3622,completed,,,,
,campaign_v2_w1_llama31-8b-base,,meta-llama/Llama-3.1-8B,,GRPO,gsm8k,Tinker,42,26,0.188,0.11466666666666665,0.1252,completed,,,,
,campaign_v2_w1_qwen35-397b,,Qwen/Qwen3.5-397B-A17B,,GRPO,gsm8k,Tinker,42,26,1.0,0.9791666666666666,0.975,completed,,,,
,campaign_v2_w2_qwen3-8b_G16,,Qwen/Qwen3-8B,,GRPO,gsm8k,Tinker,42,26,0.719,0.38033333333333336,0.4064,completed,,,,
,campaign_v2_w2_qwen3-8b_G2,,Qwen/Qwen3-8B,,GRPO,gsm8k,Tinker,42,26,0.5,0.375,0.35,completed,,,,
,campaign_v2_w2_qwen3-8b_G32,,Qwen/Qwen3-8B,,GRPO,gsm8k,Tinker,42,11,0.453,0.43766666666666665,0.43766666666666665,in_progress,,,,
,campaign_v2_w2_qwen3-8b_G4,,Qwen/Qwen3-8B,,GRPO,gsm8k,Tinker,42,26,0.75,0.5208333333333334,0.5,completed,,,,
,campaign_v2_w3_dsv31_s123,,deepseek-ai/DeepSeek-V3.1,,GRPO,gsm8k,Tinker,123,1,0.875,0.875,0.875,in_progress,,,,
,campaign_v2_w3_dsv31_s456,,deepseek-ai/DeepSeek-V3.1,,GRPO,gsm8k,Tinker,456,1,1.0,1.0,1.0,in_progress,,,,
,,,Qwen/Qwen3-8B,qwen3-8b,TRL-GRPO,gsm8k,modal_h100,,,0.375,0.05,0.0,completed,,,,
,,,meta-llama/Llama-3.2-3B-Instruct,llama-3.2-3b,TRL-GRPO,gsm8k,modal_h100,,,1.0,0.7125,0.675,completed,,,,
,,,meta-llama/Llama-3.2-1B-Instruct,llama-3.2-1b,TRL-GRPO,gsm8k,modal_h100,,,0.875,0.3625,0.175,completed,,,,
Tinker GRPO,w1_llama33-70b-inst_s42,w1 llama33 70b inst seed=42,meta-llama/Llama-3.3-70B-Instruct,llama-3.3-70b-inst,GRPO,gsm8k,tinker,42,30,1.0,0.95,0.9625,completed,,"Seed 42: peak=1.000, last-10 avg=0.950 on GSM8K (G=8, lr=1e-5, 30 steps)",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/3zwb7akd,tinker://55b12edb-e3af-5bfe-b0f8-7134ea717f5f:train:0/sampler_weights/final
Tinker GRPO,w1_llama33-70b-inst_s123,w1 llama33 70b inst seed=123,meta-llama/Llama-3.3-70B-Instruct,llama-3.3-70b-inst,GRPO,gsm8k,tinker,123,30,1.0,0.96875,1.0,completed,,"Seed 123: peak=1.000, last-10 avg=0.969 on GSM8K (G=8, lr=1e-5, 30 steps)",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/rr9b9tn0,tinker://782afa1d-7715-5de8-b1d6-7c3d8c075682:train:0/sampler_weights/final
Tinker GRPO,w1_llama33-70b-inst_s456,w1 llama33 70b inst seed=456,meta-llama/Llama-3.3-70B-Instruct,llama-3.3-70b-inst,GRPO,gsm8k,tinker,456,30,1.0,0.98125,1.0,completed,,"Seed 456: peak=1.000, last-10 avg=0.981 on GSM8K (G=8, lr=1e-5, 30 steps)",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/0orv0eyr,tinker://63e1c283-bd11-57eb-b8b1-538a91226d1d:train:0/sampler_weights/final
Tinker GRPO,w1_llama33-70b-inst_s789,w1 llama33 70b inst seed=789,meta-llama/Llama-3.3-70B-Instruct,llama-3.3-70b-inst,GRPO,gsm8k,tinker,789,30,1.0,0.95625,1.0,completed,,"Seed 789: peak=1.000, last-10 avg=0.956 on GSM8K (G=8, lr=1e-5, 30 steps)",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/3eryah20,tinker://0b72cafc-0123-5405-8034-b69f9e64c2ec:train:0/sampler_weights/final
Wave 6 Sensitivity,wave6_w6_temp0.2_r32_b2,Wave 6 temperature=0.2,Qwen/Qwen3-8B,qwen3-8b,GRPO,gsm8k,tinker,42,30,0.75,0.31875,0.2875,completed,,"Wave 6 Qwen3-8B GSM8K sensitivity (temperature=0.2). Peak=0.750, last10=0.3187, first5=0.2875. See experiments/tinker-runs/results/wave6_ablations.json.",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/863f06bd-ffd4-534b-be7f-3e10f9a0f86f:train:0,tinker://863f06bd-ffd4-534b-be7f-3e10f9a0f86f:train:0:train:0/sampler_weights/final
Wave 6 Sensitivity,wave6_w6_temp0.4_r32_b2,Wave 6 temperature=0.4,Qwen/Qwen3-8B,qwen3-8b,GRPO,gsm8k,tinker,42,30,0.8125,0.425,0.15,completed,,"Wave 6 Qwen3-8B GSM8K sensitivity (temperature=0.4). Peak=0.812, last10=0.4250, first5=0.1500. See experiments/tinker-runs/results/wave6_ablations.json.",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/34f61bac-a9d5-57b8-8167-d11c8ca0e454:train:0,tinker://34f61bac-a9d5-57b8-8167-d11c8ca0e454:train:0:train:0/sampler_weights/final
Wave 6 Sensitivity,wave6_w6_temp0.6_r32_b2,Wave 6 temperature=0.6,Qwen/Qwen3-8B,qwen3-8b,GRPO,gsm8k,tinker,42,30,0.75,0.2375,0.4,completed,,"Wave 6 Qwen3-8B GSM8K sensitivity (temperature=0.6). Peak=0.750, last10=0.2375, first5=0.4000. See experiments/tinker-runs/results/wave6_ablations.json.",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/8f6c11c9-4ac6-5e4b-80c8-abc6ae27badc:train:0,tinker://8f6c11c9-4ac6-5e4b-80c8-abc6ae27badc:train:0:train:0/sampler_weights/final
Wave 6 Sensitivity,wave6_w6_base_r32_t0.8_b2,Wave 6 temperature=0.8,Qwen/Qwen3-8B,qwen3-8b,GRPO,gsm8k,tinker,42,30,0.6875,0.3375,0.3,completed,,"Wave 6 Qwen3-8B GSM8K sensitivity (temperature=0.8). Peak=0.688, last10=0.3375, first5=0.3000. See experiments/tinker-runs/results/wave6_ablations.json.",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/01848b9b-a1df-5337-967f-72aa89574fca:train:0,tinker://01848b9b-a1df-5337-967f-72aa89574fca:train:0:train:0/sampler_weights/final
Wave 6 Sensitivity,wave6_w6_temp1.0_r32_b2,Wave 6 temperature=1.0,Qwen/Qwen3-8B,qwen3-8b,GRPO,gsm8k,tinker,42,30,0.75,0.35,0.3625,completed,,"Wave 6 Qwen3-8B GSM8K sensitivity (temperature=1.0). Peak=0.750, last10=0.3500, first5=0.3625. See experiments/tinker-runs/results/wave6_ablations.json.",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/ca715b8e-ce87-5d1c-8ca5-652be62476cb:train:0,tinker://ca715b8e-ce87-5d1c-8ca5-652be62476cb:train:0:train:0/sampler_weights/final
Wave 6 Sensitivity,wave6_w6_rank4_t0.8_b2,Wave 6 LoRA rank=4,Qwen/Qwen3-8B,qwen3-8b,GRPO,gsm8k,tinker,42,30,0.75,0.30625,0.3625,completed,,"Wave 6 Qwen3-8B GSM8K sensitivity (LoRA rank=4). Peak=0.750, last10=0.3063, first5=0.3625. See experiments/tinker-runs/results/wave6_ablations.json.",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/34500c82-2e58-502f-84aa-9d917ed59d83:train:0,tinker://34500c82-2e58-502f-84aa-9d917ed59d83:train:0:train:0/sampler_weights/final
Wave 6 Sensitivity,wave6_w6_rank8_t0.8_b2,Wave 6 LoRA rank=8,Qwen/Qwen3-8B,qwen3-8b,GRPO,gsm8k,tinker,42,30,0.8125,0.31875,0.275,completed,,"Wave 6 Qwen3-8B GSM8K sensitivity (LoRA rank=8). Peak=0.812, last10=0.3187, first5=0.2750. See experiments/tinker-runs/results/wave6_ablations.json.",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/deebbc82-10b8-57eb-bb0d-89d1895e592f:train:0,tinker://deebbc82-10b8-57eb-bb0d-89d1895e592f:train:0:train:0/sampler_weights/final
Wave 6 Sensitivity,wave6_w6_rank16_t0.8_b2,Wave 6 LoRA rank=16,Qwen/Qwen3-8B,qwen3-8b,GRPO,gsm8k,tinker,42,30,0.75,0.31875,0.3375,completed,,"Wave 6 Qwen3-8B GSM8K sensitivity (LoRA rank=16). Peak=0.750, last10=0.3187, first5=0.3375. See experiments/tinker-runs/results/wave6_ablations.json.",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/bd1a8d2c-52f8-52c1-b764-4ff045286650:train:0,tinker://bd1a8d2c-52f8-52c1-b764-4ff045286650:train:0:train:0/sampler_weights/final
Wave 6 Sensitivity,wave6_w6_rank64_t0.8_b2,Wave 6 LoRA rank=64,Qwen/Qwen3-8B,qwen3-8b,GRPO,gsm8k,tinker,42,30,0.6875,0.29375,0.3375,completed,,"Wave 6 Qwen3-8B GSM8K sensitivity (LoRA rank=64). Peak=0.688, last10=0.2938, first5=0.3375. See experiments/tinker-runs/results/wave6_ablations.json.",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/b3ce6b4d-6571-5f5f-9a70-fdc29b10e8bb:train:0,tinker://b3ce6b4d-6571-5f5f-9a70-fdc29b10e8bb:train:0:train:0/sampler_weights/final
Wave 6 Sensitivity,wave6_w6_batch1_r32_t0.8,Wave 6 per-step batch=1,Qwen/Qwen3-8B,qwen3-8b,GRPO,gsm8k,tinker,42,30,0.875,0.4,0.2,completed,,"Wave 6 Qwen3-8B GSM8K sensitivity (per-step batch=1). Peak=0.875, last10=0.4000, first5=0.2000. See experiments/tinker-runs/results/wave6_ablations.json.",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/d5d4bf4c-6430-5083-a3a8-648c79dc00b5:train:0,tinker://d5d4bf4c-6430-5083-a3a8-648c79dc00b5:train:0:train:0/sampler_weights/final
Wave 6 Sensitivity,wave6_w6_batch4_r32_t0.8,Wave 6 per-step batch=4,Qwen/Qwen3-8B,qwen3-8b,GRPO,gsm8k,tinker,42,30,0.59375,0.2875,0.33125,completed,,"Wave 6 Qwen3-8B GSM8K sensitivity (per-step batch=4). Peak=0.594, last10=0.2875, first5=0.3312. See experiments/tinker-runs/results/wave6_ablations.json.",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/0b5457f3-e254-5457-b859-50d264855b27:train:0,tinker://0b5457f3-e254-5457-b859-50d264855b27:train:0:train:0/sampler_weights/final
Wave 6 Sensitivity,wave6_w6_batch8_r32_t0.8,Wave 6 per-step batch=8,Qwen/Qwen3-8B,qwen3-8b,GRPO,gsm8k,tinker,42,30,0.546875,0.353125,0.31875,completed,,"Wave 6 Qwen3-8B GSM8K sensitivity (per-step batch=8). Peak=0.547, last10=0.3531, first5=0.3187. See experiments/tinker-runs/results/wave6_ablations.json.",https://wandb.ai/arvindcr4-pes-university/tinker-rl-lab-world-class/runs/2b4c11f8-ec55-5265-b6ba-0ec1850dc81b:train:0,tinker://2b4c11f8-ec55-5265-b6ba-0ec1850dc81b:train:0:train:0/sampler_weights/final
Tinker GRPO,smoke_grpo_qwen3-8b_s42,smoke grpo qwen3 8b s42,Qwen/Qwen3-8B,qwen3-8b,GRPO,gsm8k,tinker,42,0,,,,failed,runner raised: Error code: 402 - {'detail': 'Access for  is blocked due to billing status. Please add payment at https://tinker-console.thinkingmachines.ai/billing/balance'},,,
Tinker GRPO,smoke2_grpo_qwen3-8b_s42,smoke2 grpo qwen3 8b s42,Qwen/Qwen3-8B,qwen3-8b,GRPO,gsm8k,tinker,42,0,,,,failed,runner raised: Error code: 402 - {'detail': 'Access for  is blocked due to billing status. Please add payment at https://tinker-console.thinkingmachines.ai/billing/balance'},,,
